"filename", "language", "YAML", "Markdown", "JSON", "Dart", "HTML", "comment", "blank", "total"
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\colleges.dart", "Dart", 0, 0, 0, 21, 0, 3, 8, 32
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\courses\base_courses.dart", "Dart", 0, 0, 0, 22, 0, 0, 6, 28
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\courses\courses.dart", "Dart", 0, 0, 0, 54, 0, 3, 9, 66
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\csv_convert.dart", "Dart", 0, 0, 0, 27, 0, 2, 5, 34
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\department_teaching_matrix.dart", "Dart", 0, 0, 0, 31, 0, 3, 8, 42
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\departments.dart", "Dart", 0, 0, 0, 29, 0, 3, 8, 40
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\doctor_off.dart", "Dart", 0, 0, 0, 32, 0, 3, 10, 45
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\employee_semester.dart", "Dart", 0, 0, 0, 63, 0, 3, 12, 78
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\employees.dart", "Dart", 0, 0, 0, 61, 0, 3, 8, 72
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\genes.dart", "Dart", 0, 0, 0, 49, 0, 3, 8, 60
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\graduate_student.dart", "Dart", 0, 0, 0, 39, 0, 3, 8, 50
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\jobRankDepartmentmodel.dart", "Dart", 0, 0, 0, 87, 0, 3, 20, 110
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\jobs.dart", "Dart", 0, 0, 0, 25, 0, 3, 8, 36
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\login.dart", "Dart", 0, 0, 0, 19, 0, 3, 8, 30
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\open_course.dart", "Dart", 0, 0, 0, 32, 0, 1, 5, 38
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\permession.dart", "Dart", 0, 0, 0, 41, 0, 3, 8, 52
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\program.dart", "Dart", 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\ranks.dart", "Dart", 0, 0, 0, 25, 0, 3, 8, 36
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\classes_services.dart", "Dart", 0, 0, 0, 69, 0, 0, 7, 76
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\college_services.dart", "Dart", 0, 0, 0, 39, 0, 0, 6, 45
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\course_services.dart", "Dart", 0, 0, 0, 64, 0, 0, 7, 71
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\department_services.dart", "Dart", 0, 0, 0, 41, 0, 0, 6, 47
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\employee_semester_services.dart", "Dart", 0, 0, 0, 61, 0, 0, 8, 69
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\employee_services.dart", "Dart", 0, 0, 0, 72, 0, 0, 6, 78
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\gentic_algorithm_services.dart", "Dart", 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\graduate_student_services.dart", "Dart", 0, 0, 0, 38, 0, 1, 5, 44
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\jobRankDepartmentModel_services.dart", "Dart", 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\job_services.dart", "Dart", 0, 0, 0, 37, 0, 0, 6, 43
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\login_services.dart", "Dart", 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\open_course_services.dart", "Dart", 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\permession_services.dart", "Dart", 0, 0, 0, 35, 0, 0, 5, 40
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\rank_services.dart", "Dart", 0, 0, 0, 38, 0, 0, 7, 45
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\semester_services.dart", "Dart", 0, 0, 0, 37, 0, 0, 6, 43
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\student_services.dart", "Dart", 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\teaching_matrix_services.dart", "Dart", 0, 0, 0, 30, 0, 0, 6, 36
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\repository\time_services.dart", "Dart", 0, 0, 0, 35, 0, 0, 5, 40
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\semester.dart", "Dart", 0, 0, 0, 25, 0, 3, 8, 36
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\students.dart", "Dart", 0, 0, 0, 21, 0, 3, 8, 32
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\teach_hour.dart", "Dart", 0, 0, 0, 22, 0, 3, 7, 32
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\teaching_matrix_menu_item.dart", "Dart", 0, 0, 0, 23, 0, 5, 7, 35
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\teachingmatrix.dart", "Dart", 0, 0, 0, 26, 0, 3, 8, 37
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\models\time.dart", "Dart", 0, 0, 0, 38, 0, 3, 12, 53
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\shared\database_url.dart", "Dart", 0, 0, 0, 103, 0, 30, 14, 147
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\view\add_employee_view.dart", "Dart", 0, 0, 0, 412, 0, 0, 9, 421
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\view\classes_view.dart", "Dart", 0, 0, 0, 972, 0, 30, 18, 1020
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\view\college_view.dart", "Dart", 0, 0, 0, 372, 0, 5, 6, 383
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\view\course_add_view.dart", "Dart", 0, 0, 0, 305, 0, 6, 3, 314
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\view\course_update_view.dart", "Dart", 0, 0, 0, 324, 0, 5, 4, 333
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\view\course_view.dart", "Dart", 0, 0, 0, 819, 0, 27, 12, 858
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\view\dashboard.dart", "Dart", 0, 0, 0, 176, 0, 3, 3, 182
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\view\department_view.dart", "Dart", 0, 0, 0, 638, 0, 11, 7, 656
"c:\Users\adnan\OneDrive\Desktop\Graduate Project\Course Schedualing\Application\schedualmoon\lib\view\employee_semester_view.dart", "Dart", 0, 0, 0, 440, 0, 7, 4, 451
